EmpID,BiasInfluentialFactor,FitmentPercent
18677,DegreeBranch,21.4
14424,DegreeBranch,21.12
24095,NA,0.06
21803,MartialStatus,52.03
24365,NA,0.05
21897,NA,0.05
12218,NA,0.05
6426,NA,0.05
18233,Gender,0.06
16313,Gender,13.55
19552,YearsOfExperince,32.72
3394,NA,0.05
21300,YearsOfExperince,15.62
19989,NA,0.05
18968,Gender,20.81
17609,Gender,19.77
6393,YearsOfExperince,12.72
18566,NA,0.06
18652,Gender,21.82
6284,EmpScore,35.85
10974,Gender,13.94
9330,DegreeBranch,23.5
20382,DegreeBranch,19.31
14652,CurrentCompanyType,0.05
15787,Gender,12.32
19436,NA,0.05
7393,NA,0.06
9058,DegreeBranch,22.84
11633,NA,0.05
13719,NA,0.05
11529,YearsOfExperince,23.36
10025,NA,0.05
14861,YearsOfExperince,17.98
9580,Gender,13.52
14427,NA,0.06
20740,HighestDegree,35.26
18768,DegreeBranch,18.78
20259,Gender,22.74
18190,HighestDegree,45.52
11050,DegreeBranch,3.14
21005,Gender,11.87
17701,NA,0.06
10792,DegreeBranch,19.49
2785,NA,0.06
15529,HighestDegree,34.44
21480,NA,0.06
6154,YearsOfExperince,33.3
5826,HighestDegree,37.15
11819,DegreeBranch,24.11
21236,EmpScore,34.45
8350,NA,0.06
15823,Gender,13.92
9144,Gender,14.5
13558,YearsOfExperince,24.04
16434,Gender,25.26
21895,NA,0.05
22161,NA,0.05
12676,NA,0.05
8441,NA,0.06
19130,NA,0.05
23954,NA,0.04
23367,Gender,15.32
20027,Gender,0.05
3999,NA,0.06
22447,YearsOfExperince,20.62
11876,NA,0.05
15118,NA,0.05
11302,YearsOfExperince,33.14
13884,Gender,5.11
22852,Gender,19.85
3287,DegreeBranch,16.93
5784,YearsOfExperince,25.85
24277,DegreeBranch,17.96
13926,Gender,24.97
2852,DegreeBranch,14.85
5124,NA,0.06
22611,NA,0.05
14877,NA,0.05
20937,NA,0.05
16154,Gender,17.95
20388,YearsOfExperince,25.15
22392,DegreeBranch,17.29
4555,NA,0.05
17815,NA,0.04
20186,DegreeBranch,21.81
23435,Gender,19.23
16770,DegreeBranch,16.36
8341,CurrentCompanyType,0.23
13552,DegreeBranch,18.44
3915,DegreeBranch,17.3
23201,DegreeBranch,20.98
7425,EmpScore,31.36
4966,Gender,0.04
2772,DegreeBranch,19.66
22279,DegreeBranch,17.64
15389,NA,0.05
10680,NA,0.04
7030,NA,0.05
10250,NA,0.05
19636,DegreeBranch,2.55
15436,YearsOfExperince,26.61
8730,DegreeBranch,19.45
21298,EmpScore,35.14
8517,NA,0.05
10527,NA,0.05
21230,Gender,0.05
18809,DegreeBranch,21.65
3934,YearsOfExperince,16.99
10115,YearsOfExperince,28.46
19773,NA,0.05
16014,EmpScore,31.82
7312,EmpScore,30.9
14091,Gender,22.2
8717,NA,0.06
8953,DegreeBranch,21.67
17773,NA,0.06
2872,NA,0.05
21162,Gender,24.77
15809,NA,0.06
11754,Gender,25.16
9338,DegreeBranch,2.49
11212,YearsOfExperince,34.49
5007,DegreeBranch,1.6
5601,NA,0.04
17520,DegreeBranch,24.11
20883,NA,0.06
3944,YearsOfExperince,20.62
6887,EmpScore,31.45
20677,YearsOfExperince,17.27
20521,Gender,9.66
12514,Gender,14.57
23706,Gender,23.19
13513,YearsOfExperince,18.47
18729,YearsOfExperince,26.01
22103,Gender,14.49
15153,DegreeBranch,14.68
10525,Gender,18.46
8397,DegreeBranch,22.91
11678,NA,0.05
8262,Gender,21.7
17024,NA,0.06
11735,Gender,19.17
8527,Gender,0.06
9452,NA,0.06
23975,DegreeBranch,19.51
15880,LatestDegreeCGPA,0.04
9497,DegreeBranch,20.04
22405,DegreeBranch,17.19
17448,NA,0.06
19791,DegreeBranch,20.98
4062,NA,0.06
8915,DegreeBranch,21.03
14298,HighestDegree,47.38
12434,Gender,12.24
12028,HighestDegree,42.86
17305,DegreeBranch,22.63
9426,CurrentCompanyType,0.76
10131,Gender,27.03
9652,Gender,19.19
14477,Gender,0.04
2091,Gender,16.7
3821,DegreeBranch,17.17
12396,NA,0.05
14241,YearsOfExperince,13.23
23742,DegreeBranch,15.96
19466,NA,0.04
5883,MartialStatus,53.23
24132,DegreeBranch,0.5
16250,EmpScore,33.39
16401,CurrentCompanyType,1.07
4824,YearsOfExperince,24.6
10957,YearsOfExperince,31.01
11750,DegreeBranch,18.52
13935,MartialStatus,51.64
16029,Gender,21.39
9295,YearsOfExperince,25.13
21345,NA,0.05
22123,Gender,12.34
19872,Gender,12.94
17118,HighestDegree,43.23
17121,MartialStatus,46.02
6966,DegreeBranch,4.89
24062,YearsOfExperince,21.78
9238,HighestDegree,18.92
6590,YearsOfExperince,29.23
4352,NA,0.06
8562,YearsOfExperince,11.37
9557,YearsOfExperince,26.87
7737,NA,0.05
11090,NA,0.05
2898,NA,0.06
12094,NA,0.05
10557,Gender,23.35
19360,Gender,23.31
12173,DegreeBranch,3.33
18496,EmpScore,38.93
4044,NA,0.04
8828,Gender,13.57
5822,DegreeBranch,20.99
4800,NA,0.04
19690,EmpScore,33.08
13470,DegreeBranch,2.17
17247,DegreeBranch,18.74
19126,Gender,24.23
17279,Gender,20.32
11804,Gender,20.3
15672,YearsOfExperince,37.2
6921,YearsOfExperince,18.51
16364,YearsOfExperince,32.93
3186,NA,0.04
20973,NA,0.05
24245,DegreeBranch,20.65
23278,DegreeBranch,24.54
13294,DegreeBranch,16.36
4768,Gender,15.26
22217,DegreeBranch,18.98
12584,NA,0.06
8578,Gender,28.93
10623,DegreeBranch,17.74
7326,NA,0.06
14092,DegreeBranch,18.69
14482,NA,0.05
22022,DegreeBranch,18.16
23284,DegreeBranch,20.84
23999,NA,0.05
10655,MartialStatus,52.91
24045,EmpScore,37.05
4986,Gender,20.15
22449,DegreeBranch,18.96
10719,DegreeBranch,12.46
14917,Gender,14.21
18926,DegreeBranch,20.1
5227,DegreeBranch,19.77
22606,CurrentCompanyType,8.41
5037,NA,0.05
13962,Gender,11.49
7418,YearsOfExperince,30.87
12572,EmpScore,38.49
10207,DegreeBranch,23.55
20347,YearsOfExperince,28.43
12982,CurrentCompanyType,6.16
7210,NA,0.05
19779,DegreeBranch,23.44
16265,YearsOfExperince,32.37
23858,YearsOfExperince,20.71
19926,Gender,10.54
9915,MartialStatus,42.97
14873,DegreeBranch,22.91
23033,NA,0.05
20379,NA,0.04
23862,Gender,7.9
3961,DegreeBranch,19.83
20156,NA,0.05
2845,NA,0.05
21319,Gender,21.79
23319,NA,0.05
11447,Gender,20.95
23088,Gender,3.71
13532,EmpScore,33.32
22777,Gender,15.01
3951,DegreeBranch,4.47
19597,YearsOfExperince,13.22
21097,HighestDegree,45.57
7022,NA,0.06
4812,NA,0.05
13103,DegreeBranch,21.03
17395,DegreeBranch,18.15
2363,DegreeBranch,20.52
6311,DegreeBranch,23.16
16964,DegreeBranch,21.26
10553,Gender,14.91
19740,DegreeBranch,14.32
5133,CurrentCompanyType,0.23
22171,YearsOfExperince,26.46
20617,DegreeBranch,15.01
6662,Gender,9.72
23903,Gender,16.18
18027,NA,0.04
10298,NA,0.06
21972,NA,0.05
11690,Gender,16.82
16309,YearsOfExperince,23.32
20202,EmpScore,34.12
22074,DegreeBranch,5.3
6309,DegreeBranch,20.34
13662,NA,0.06
4078,Gender,23.55
15188,NA,0.05
15476,NA,0.04
8200,NA,0.05
19412,DegreeBranch,17.03
14712,HighestDegree,43.73
3415,NA,0.04
5453,DegreeBranch,15.9
15238,Gender,22.1
19323,HighestDegree,37.46
23188,DegreeBranch,18.89
6591,EmpScore,31.74
12101,DegreeBranch,21.16
17146,Gender,23.2
9146,NA,0.07
22775,NA,0.06
13751,DegreeBranch,22.35
11226,Gender,25.15
3850,Gender,0.05
14997,NA,0.06
22434,NA,0.06
5269,Gender,7.68
13380,EmpScore,31.32
22670,HighestDegree,42.12
15129,NA,0.06
6112,NA,0.05
19858,NA,0.06
3195,DegreeBranch,21.86
15081,NA,0.06
12625,NA,0.05
2394,NA,0.05
11722,EmpScore,34.89
10487,NA,0.05
6716,NA,0.05
21686,Gender,14.67
23385,YearsOfExperince,26.9
20061,NA,0.05
13274,YearsOfExperince,20.75
6434,EmpScore,30.53
11018,YearsOfExperince,22.95
7633,NA,0.05
3647,EmpScore,30.96
8764,YearsOfExperince,17.56
5462,EmpScore,34.9
5482,YearsOfExperince,27.38
10636,EmpScore,35.04
13206,MartialStatus,52.92
5099,NA,0.06
10010,DegreeBranch,19.63
6082,EmpScore,38.52
13048,NA,0.05
19864,Gender,22.49
11227,NA,0.05
4186,DegreeBranch,17.2
4195,DegreeBranch,10.99
15060,Gender,23.66
11001,Gender,0.05
2340,DegreeBranch,5.6
22965,DegreeBranch,17.53
5148,YearsOfExperince,29.5
13601,DegreeBranch,18.37
9076,DegreeBranch,15.06
20026,YearsOfExperince,24.42
16062,DegreeBranch,23.61
16983,DegreeBranch,19.39
4603,NA,0.05
23344,Gender,0.06
8109,NA,0.05
14277,Gender,17.23
12639,EmpScore,37.68
24128,Gender,13.35
15262,YearsOfExperince,22.36
11037,DegreeBranch,20.29
8586,CurrentCompanyType,0.05
18481,DegreeBranch,0.05
11232,NA,0.05
12038,YearsOfExperince,28.09
5802,CurrentCompanyType,0.05
8631,LatestDegreeCGPA,0.04
13476,YearsOfExperince,25.67
13947,NA,0.05
16601,DegreeBranch,18.77
6751,NA,0.04
16303,NA,0.05
12486,CurrentCompanyType,8.11
19548,Gender,0.06
6731,Gender,14.54
5410,YearsOfExperince,30.05
7365,YearsOfExperince,32.54
14636,Gender,4.15
15825,NA,0.06
18432,EmpScore,38.18
8161,DegreeBranch,18.99
9168,NA,0.06
5368,DegreeBranch,18.47
16755,NA,0.06
14554,DegreeBranch,20.38
2859,Gender,14.2
11652,Gender,15.86
2715,Gender,13.77
17972,NA,0.05
14439,YearsOfExperince,27.53
7135,NA,0.05
9082,DegreeBranch,14.5
6327,YearsOfExperince,8.75
20135,YearsOfExperince,29.59
9598,Gender,16.09
9479,DegreeBranch,3.04
8531,NA,0.04
17576,CurrentCompanyType,0.06
7868,Gender,0.25
4704,Gender,13.88
2227,Gender,11.35
12599,EmpScore,34.57
20120,YearsOfExperince,29.85
22992,NA,0.06
11003,NA,0.05
12372,Gender,9.52
8545,DegreeBranch,14.66
2197,NA,0.04
20102,EmpScore,35.48
19447,YearsOfExperince,23.26
12226,DegreeBranch,19.6
22898,Gender,0.04
21509,DegreeBranch,17.39
19625,Gender,9.54
9993,Gender,9.79
12900,DegreeBranch,25.62
11775,NA,0.05
21533,YearsOfExperince,29.81
6712,Gender,4.21
2667,EmpScore,36.54
11924,DegreeBranch,18.58
12068,Gender,17.62
6016,Gender,16.71
21718,NA,0.06
6832,NA,0.05
9444,EmpScore,31.01
21789,Gender,0.05
12651,DegreeBranch,16.96
5438,Gender,14.28
17094,NA,0.05
2467,NA,0.06
3295,Gender,22.34
2298,NA,0.05
9374,YearsOfExperince,14.02
8325,YearsOfExperince,29.3
20077,NA,0.05
9976,Gender,4.78
20755,YearsOfExperince,23.07
8582,NA,0.07
17002,Gender,0.05
14742,EmpScore,35.52
6849,CurrentCompanyType,0.07
23690,HighestDegree,39.91
2723,NA,0.05
23389,Gender,22.32
4551,Gender,16.14
24155,DegreeBranch,17.09
17986,NA,0.05
3173,YearsOfExperince,20.99
4753,YearsOfExperince,19.2
6047,YearsOfExperince,21.19
12630,DegreeBranch,16.09
8896,Gender,16.59
17455,HighestDegree,44.8
10654,NA,0.06
20375,CurrentCompanyType,4.4
16180,NA,0.05
24323,NA,0.05
17430,DegreeBranch,14.78
10603,NA,0.05
23431,Gender,20.07
23339,DegreeBranch,18.85
19068,DegreeBranch,15.68
8797,DegreeBranch,21.76
11220,YearsOfExperince,29.07
20244,Gender,0.15
15150,NA,0.05
2145,YearsOfExperince,21.28
2643,EmpScore,30.44
19659,NA,0.06
22395,NA,0.05
16986,NA,0.05
2938,Gender,0.62
23372,Gender,11.73
7675,Gender,0.06
12534,HighestDegree,42.21
22145,Gender,12.44
22403,DegreeBranch,25.67
8865,HighestDegree,45.26
16766,NA,0.05
14573,HighestDegree,39.57
17938,CurrentCompanyType,4.19
20913,DegreeBranch,18.63
2707,DegreeBranch,20.07
10035,NA,0.05
2342,HighestDegree,34.63
18984,NA,0.04
10572,EmpScore,30.09
14851,NA,0.05
2644,YearsOfExperince,29.8
23598,DegreeBranch,20.5
5695,Gender,0.05
8049,Gender,13.82
2907,Gender,0.05
17672,NA,0.05
23746,YearsOfExperince,29.49
18424,NA,0.05
20530,EmpScore,34.22
14918,EmpScore,36.04
9320,NA,0.05
3024,HighestDegree,46.99
8489,NA,0.05
16070,DegreeBranch,21.08
7289,NA,0.04
7789,EmpScore,32.22
12493,Gender,0.09
10076,NA,0.06
22870,NA,0.05
18113,DegreeBranch,19.36
14232,EmpScore,30.24
18076,HighestDegree,42.39
19544,YearsOfExperince,33.2
2470,DegreeBranch,14.7
12813,CurrentCompanyType,0.06
12270,CurrentCompanyType,3.01
19184,DegreeBranch,26.54
13584,NA,0.04
4339,NA,0.06
17914,YearsOfExperince,32.23
10917,Gender,16.08
15879,NA,0.06
6427,NA,0.05
14040,Gender,5.11
16305,Gender,20.35
16513,Gender,14.71
8960,HighestDegree,35.91
13799,NA,0.05
5379,Gender,2.33
20457,YearsOfExperince,32.98
18933,NA,0.05
19281,NA,0.05
10128,NA,0.06
18061,Gender,24.07
2174,NA,0.05
18838,DegreeBranch,16.92
6795,Gender,22.18
3224,NA,0.05
10831,DegreeBranch,18.59
5177,Gender,24.35
17845,NA,0.05
16084,EmpScore,35.84
10823,HighestDegree,42.0
22135,Gender,18.92
14894,NA,0.07
6721,NA,0.07
23929,Gender,26.59
4683,DegreeBranch,20.21
21939,DegreeBranch,19.35
4619,NA,0.06
4059,DegreeBranch,17.18
4750,Gender,0.05
16333,NA,0.05
7631,Gender,0.04
17571,YearsOfExperince,27.02
13223,DegreeBranch,22.52
6116,EmpScore,32.58
14670,EmpScore,37.68
23632,NA,0.05
14677,DegreeBranch,22.92
19234,YearsOfExperince,17.42
5523,Gender,13.46
11495,NA,0.05
23168,NA,0.04
5302,DegreeBranch,17.99
7925,HighestDegree,37.1
11796,NA,0.05
22722,NA,0.05
11147,DegreeBranch,16.75
3271,NA,0.04
7532,NA,0.06
22718,DegreeBranch,19.02
7002,HighestDegree,34.76
23799,CurrentCompanyType,0.05
20117,DegreeBranch,16.6
8931,DegreeBranch,20.76
12655,DegreeBranch,21.85
10456,Gender,15.28
21352,EmpScore,29.61
8532,NA,0.05
4890,YearsOfExperince,22.85
22035,DegreeBranch,18.79
12366,YearsOfExperince,26.08
24342,Gender,18.98
9218,Gender,13.99
2918,DegreeBranch,0.48
22751,EmpScore,32.53
9299,DegreeBranch,20.35
10116,YearsOfExperince,5.61
19046,NA,0.05
5724,NA,0.05
17626,Gender,23.16
10874,DegreeBranch,23.29
17574,Gender,17.02
12772,YearsOfExperince,19.51
18545,NA,0.05
16172,YearsOfExperince,31.6
18997,DegreeBranch,26.92
24142,NA,0.05
10818,DegreeBranch,20.78
14909,DegreeBranch,18.7
7996,Gender,0.05
11575,YearsOfExperince,25.15
7740,NA,0.05
16074,NA,0.05
21831,NA,0.05
18339,DegreeBranch,20.56
8211,NA,0.04
23062,DegreeBranch,19.03
18654,EmpScore,35.09
16230,YearsOfExperince,36.5
19747,DegreeBranch,19.78
11439,DegreeBranch,14.34
2888,NA,0.06
15800,DegreeBranch,24.18
2676,HighestDegree,35.53
8530,Gender,13.53
24046,DegreeBranch,24.85
7119,EmpScore,30.59
20691,MartialStatus,53.22
23702,DegreeBranch,22.87
4334,NA,0.05
19630,Gender,19.48
19977,CurrentCompanyType,0.23
11601,DegreeBranch,19.01
18181,Gender,23.76
14495,NA,0.05
5433,MartialStatus,49.56
2708,NA,0.05
19110,Gender,22.89
8077,Gender,2.18
6574,DegreeBranch,5.32
12076,NA,0.05
3813,HighestDegree,46.85
7864,Gender,21.06
15259,HighestDegree,34.9
19304,NA,0.05
12613,EmpScore,32.29
6340,NA,0.05
13726,DegreeBranch,23.11
21799,YearsOfExperince,23.24
18946,NA,0.05
22904,NA,0.05
12715,NA,0.05
5464,HighestDegree,34.63
2885,DegreeBranch,30.86
8175,NA,0.05
18310,Gender,4.64
21078,DegreeBranch,16.42
13869,YearsOfExperince,21.37
15964,EmpScore,34.83
21048,DegreeBranch,5.72
14638,EmpScore,32.92
21982,NA,0.04
5750,DegreeBranch,20.88
23484,Gender,0.05
23656,DegreeBranch,16.79
18479,Gender,21.8
11695,HighestDegree,31.25
7842,Gender,0.05
2092,YearsOfExperince,28.71
10587,Gender,14.94
6208,Gender,20.34
4927,NA,0.05
17015,CurrentCompanyType,1.17
6074,NA,0.05
18384,MartialStatus,50.0
24181,Gender,17.98
20806,NA,0.06
16059,NA,0.06
6400,NA,0.06
3219,Gender,18.64
17911,NA,0.05
9737,NA,0.05
17547,EmpScore,32.83
22355,YearsOfExperince,33.18
9500,Gender,22.75
11509,NA,0.05
13707,YearsOfExperince,27.78
4624,DegreeBranch,20.31
21760,Gender,14.38
10948,DegreeBranch,22.41
23985,Gender,16.34
10479,HighestDegree,45.11
19231,DegreeBranch,0.72
5709,DegreeBranch,21.8
13431,Gender,12.25
22981,Gender,27.36
6933,EmpScore,27.99
14159,Gender,2.57
16588,Ethinicity,157.5
11588,NA,0.06
12666,DegreeBranch,17.12
4953,DegreeBranch,17.98
11252,EmpScore,32.79
8297,YearsOfExperince,19.64
10845,DegreeBranch,21.06
8944,HighestDegree,47.69
23139,DegreeBranch,20.51
19518,MartialStatus,47.43
12990,CurrentCompanyType,0.05
14291,DegreeBranch,17.54
14179,NA,0.05
9680,DegreeBranch,17.11
13664,YearsOfExperince,21.56
8516,NA,0.05
10647,CurrentCompanyType,1.19
8171,YearsOfExperince,27.19
17394,Gender,7.98
17058,HighestDegree,36.32
6873,DegreeBranch,3.24
15125,YearsOfExperince,10.34
6127,NA,0.06
21042,MartialStatus,44.72
16063,NA,0.06
4621,YearsOfExperince,28.56
14416,DegreeBranch,1.04
18397,YearsOfExperince,28.5
5120,HighestDegree,47.48
12551,NA,0.05
20025,NA,0.05
14404,DegreeBranch,19.33
18728,DegreeBranch,22.81
5771,Gender,22.82
24313,Gender,0.05
9022,Gender,19.94
5716,DegreeBranch,17.31
18757,NA,0.04
11829,NA,0.05
10398,Gender,18.46
18508,EmpScore,31.5
18302,NA,0.05
23412,NA,0.05
12476,DegreeBranch,16.32
3485,NA,0.05
20115,Gender,16.18
17304,NA,0.05
3347,Gender,7.62
13474,YearsOfExperince,9.5
19974,Gender,22.71
18300,Gender,11.47
23366,NA,0.06
2109,DegreeBranch,22.76
21959,YearsOfExperince,7.65
19383,YearsOfExperince,22.36
24267,NA,0.05
21887,DegreeBranch,20.54
12162,HighestDegree,46.45
12708,NA,0.06
21563,Gender,20.75
16500,NA,0.04
12807,LatestDegreeCGPA,0.04
2592,NA,0.06
4148,NA,0.06
4464,NA,0.05
12988,Gender,13.72
20303,NA,0.04
11657,DegreeBranch,18.51
12932,NA,0.05
21458,Gender,0.05
16997,Gender,12.74
2479,DegreeBranch,15.18
17759,DegreeBranch,17.22
3616,NA,0.06
4222,DegreeBranch,21.26
14001,DegreeBranch,18.77
10286,DegreeBranch,24.43
12965,YearsOfExperince,26.1
21357,NA,0.06
7914,YearsOfExperince,14.43
22661,YearsOfExperince,28.96
4374,YearsOfExperince,16.73
5881,Gender,25.58
3602,Gender,5.6
23102,NA,0.05
6184,Gender,17.35
24265,YearsOfExperince,14.13
19545,NA,0.05
18701,NA,0.05
23802,DegreeBranch,15.36
22013,CurrentCompanyType,0.06
5199,NA,0.06
2043,HighestDegree,32.13
13098,MartialStatus,47.3
5770,NA,0.06
12040,Gender,11.71
16754,DegreeBranch,15.16
11831,Gender,5.34
22645,DegreeBranch,17.48
15966,Gender,26.04
19457,NA,0.05
20542,NA,0.05
21023,NA,0.05
8310,EmpScore,32.09
7341,DegreeBranch,0.78
23986,Gender,27.14
22795,NA,0.04
20249,MartialStatus,46.81
13854,NA,0.05
15936,CurrentCompanyType,0.55
24083,EmpScore,36.69
18836,NA,0.04
18570,Gender,5.4
17384,DegreeBranch,8.25
22672,NA,0.05
9730,HighestDegree,37.71
3393,NA,0.06
20106,YearsOfExperince,15.67
9258,DegreeBranch,17.48
23865,NA,0.05
7286,EmpScore,30.39
21985,NA,0.05
2711,NA,0.05
15319,Gender,24.33
11776,Gender,9.96
19563,Gender,13.2
11364,Gender,0.05
7921,YearsOfExperince,35.28
24288,Gender,22.56
22676,HighestDegree,43.71
14650,Gender,14.26
13716,NA,0.04
16663,NA,0.06
23789,NA,0.05
23904,DegreeBranch,22.33
24199,EmpScore,35.1
18322,NA,0.06
23876,NA,0.05
18685,NA,0.04
10788,YearsOfExperince,19.23
11314,NA,0.05
10982,DegreeBranch,21.72
5341,NA,0.05
19136,Gender,27.57
13511,EmpScore,34.44
15520,NA,0.06
5176,DegreeBranch,22.12
6765,Gender,23.12
7622,NA,0.05
20256,DegreeBranch,20.75
10512,EmpScore,30.55
18035,NA,0.05
17915,DegreeBranch,17.79
10082,DegreeBranch,16.12
17007,YearsOfExperince,22.19
17646,EmpScore,27.33
15092,NA,0.05
8716,Gender,17.15
18387,DegreeBranch,1.62
3105,NA,0.06
16580,CurrentCompanyType,0.06
15778,NA,0.05
12418,Gender,16.7
3472,NA,0.05
7073,DegreeBranch,22.5
12029,EmpScore,33.12
12834,DegreeBranch,18.24
4089,DegreeBranch,5.38
3236,EmpScore,33.83
17784,Gender,13.91
21368,DegreeBranch,16.36
17298,DegreeBranch,5.09
15071,DegreeBranch,18.89
20792,Gender,19.41
12108,EmpScore,31.55
14059,YearsOfExperince,28.32
6884,DegreeBranch,19.32
8035,NA,0.06
11935,YearsOfExperince,24.27
6545,DegreeBranch,22.97
6725,Gender,8.92
12830,MartialStatus,48.42
20720,EmpScore,33.61
9957,NA,0.06
7484,EmpScore,35.52
3936,Gender,0.05
14140,YearsOfExperince,19.48
13238,Gender,24.35
22894,YearsOfExperince,16.22
14787,Gender,22.44
21622,YearsOfExperince,25.56
14528,EmpScore,37.61
2818,NA,0.06
11406,NA,0.05
17830,YearsOfExperince,36.84
18837,DegreeBranch,22.38
9997,NA,0.06
19543,YearsOfExperince,22.42
2069,DegreeBranch,17.57
23430,NA,0.05
8848,Gender,0.06
16331,YearsOfExperince,22.99
4361,EmpScore,32.99
14786,DegreeBranch,17.76
20707,NA,0.05
14856,DegreeBranch,18.22
11666,DegreeBranch,18.21
16055,NA,0.04
22595,NA,0.05
9536,Gender,30.45
16879,YearsOfExperince,31.28
11112,MartialStatus,49.55
4039,Gender,2.03
10449,NA,0.06
17441,NA,0.05
21122,MartialStatus,47.17
7888,NA,0.05
3577,DegreeBranch,18.23
5478,Gender,3.74
7657,YearsOfExperince,35.26
2695,DegreeBranch,17.52
5618,NA,0.06
11187,Gender,20.54
2719,Gender,12.81
6421,NA,0.05
2199,Gender,16.08
13143,DegreeBranch,19.9
20601,NA,0.06
11802,Gender,9.5
18485,CurrentCompanyType,0.05
22895,YearsOfExperince,23.73
21101,DegreeBranch,5.39
15267,NA,0.05
7396,NA,0.05
18214,Gender,24.22
23828,NA,0.05
6521,DegreeBranch,18.92
18308,DegreeBranch,17.14
9779,YearsOfExperince,25.94
18732,NA,0.05
18383,DegreeBranch,19.05
8607,Gender,16.12
19367,EmpScore,34.25
16067,Gender,22.21
21107,YearsOfExperince,25.15
18428,NA,0.05
22680,YearsOfExperince,26.86
13343,Gender,13.02
5562,NA,0.05
5804,DegreeBranch,17.86
11143,Gender,20.3
10554,NA,0.06
12782,HighestDegree,39.71
8421,YearsOfExperince,25.86
11327,Gender,14.5
2310,DegreeBranch,17.35
15975,Gender,1.19
17859,NA,0.05
7436,Gender,14.08
13555,Gender,15.94
6009,NA,0.04
21325,CurrentCompanyType,1.51
2084,DegreeBranch,22.02
4452,HighestDegree,45.25
11430,NA,0.05
10765,YearsOfExperince,19.93
15629,DegreeBranch,24.77
11964,NA,0.04
23725,NA,0.05
8561,DegreeBranch,19.37
9172,NA,0.06
2421,Gender,10.21
19063,YearsOfExperince,17.74
